facility_id,facility_name,citytown,state,countyparish,measure_id,measure_name,compared_to_national,score,start_date,end_date
050030,OROVILLE HOSPITAL,OROVILLE,CA,BUTTE,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,2049,07/01/2024,06/30/2025
050030,OROVILLE HOSPITAL,OROVILLE,CA,BUTTE,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,3,07/01/2024,06/30/2025
050030,OROVILLE HOSPITAL,OROVILLE,CA,BUTTE,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,8001,07/01/2024,06/30/2025
050036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,KERN,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,3,07/01/2024,06/30/2025
050036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,KERN,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,7775,07/01/2024,06/30/2025
050036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,KERN,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,1,07/01/2024,06/30/2025
050036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,KERN,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,6453,07/01/2024,06/30/2025
050038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA,SANTA CLARA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,14,07/01/2024,06/30/2025
050038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA,SANTA CLARA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,26596,07/01/2024,06/30/2025
050038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA,SANTA CLARA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,28,07/01/2024,06/30/2025
050038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA,SANTA CLARA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,22643,07/01/2024,06/30/2025
050039,ENLOE HEALTH,CHICO,CA,BUTTE,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,7,07/01/2024,06/30/2025
050039,ENLOE HEALTH,CHICO,CA,BUTTE,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,13241,07/01/2024,06/30/2025
050039,ENLOE HEALTH,CHICO,CA,BUTTE,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,9,07/01/2024,06/30/2025
050039,ENLOE HEALTH,CHICO,CA,BUTTE,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,16907,07/01/2024,06/30/2025
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,LOS ANGELES,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,3,07/01/2024,06/30/2025
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,LOS ANGELES,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,5271,07/01/2024,06/30/2025
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,LOS ANGELES,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,7,07/01/2024,06/30/2025
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,LOS ANGELES,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,4973,07/01/2024,06/30/2025
050042,ST ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,TEHAMA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050042,ST ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,TEHAMA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Not Available,348,07/01/2024,06/30/2025
050042,ST ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,TEHAMA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050042,ST ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,TEHAMA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Not Available,738,07/01/2024,06/30/2025
050043,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,ALAMEDA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,3,07/01/2024,06/30/2025
050043,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,ALAMEDA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,6975,07/01/2024,06/30/2025
050043,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,ALAMEDA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,6,07/01/2024,06/30/2025
050043,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,ALAMEDA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,6948,07/01/2024,06/30/2025
050045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA,IMPERIAL,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,3,07/01/2024,06/30/2025
050045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA,IMPERIAL,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,1661,07/01/2024,06/30/2025
050045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA,IMPERIAL,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,4,07/01/2024,06/30/2025
050045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA,IMPERIAL,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,3186,07/01/2024,06/30/2025
